Temperature,Humidity,Pressure,Rain,Wind Direction,Wind Speed
20.6,93.0,996.0,1.6,0.0,0.0
20.1,94.0,995.5,2.0,160.0,1.5
19.8,94.0,996.4,0.4,180.0,2.1
18.8,94.0,997.5,1.4,180.0,2.7
18.2,94.0,998.9,0.2,190.0,4.2
17.2,94.0,1000.4,0.8,190.0,4.6
17.0,93.0,1001.3,0.2,190.0,4.8
17.3,92.0,1001.6,0.8,170.0,3.3
17.1,90.0,1002.3,0.0,170.0,3.7
17.7,85.0,1002.8,0.0,170.0,3.5
17.7,86.0,1003.1,0.0,160.0,3.3
18.6,77.0,1003.5,0.0,140.0,3.6
19.4,65.0,1003.5,0.0,140.0,3.9
19.2,69.0,1004.2,0.0,160.0,4.0
19.5,64.0,1004.6,0.0,150.0,3.7
18.1,74.0,1005.1,0.0,170.0,4.3
18.2,66.0,1005.6,0.0,160.0,3.9
17.6,72.0,1006.4,0.0,140.0,2.8
17.2,74.0,1007.1,0.0,120.0,2.0
17.0,78.0,1007.9,0.0,120.0,1.5
16.6,80.0,1008.7,0.0,120.0,1.4
16.0,82.0,1008.8,0.0,110.0,1.8
16.2,84.0,1008.6,0.0,110.0,1.7
15.9,84.0,1008.4,0.0,120.0,1.3
15.8,86.0,1008.1,0.0,0.0,0.0
15.2,87.0,1007.5,0.0,100.0,1.6
13.9,90.0,1007.1,0.0,90.0,2.0
14.1,91.0,1007.7,0.0,90.0,1.8
14.1,89.0,1008.0,0.0,80.0,2.0
16.8,76.0,1008.2,0.0,80.0,1.6
19.5,58.0,1008.2,0.0,70.0,1.8
20.9,53.0,1008.1,0.0,90.0,3.1
23.4,43.0,1007.5,0.0,90.0,2.5
25.1,36.0,1007.0,0.0,130.0,2.8
26.1,35.0,1006.3,0.0,150.0,2.9
26.4,38.0,1005.5,0.0,150.0,3.5
25.0,41.0,1005.2,0.0,150.0,4.6
25.4,38.0,1005.2,0.0,150.0,6.5
23.8,38.0,1004.9,0.0,160.0,6.1
24.0,43.0,1004.5,0.0,160.0,6.5
22.3,50.0,1004.8,0.0,150.0,6.1
21.1,56.0,1005.2,0.0,140.0,4.8
18.9,65.0,1005.7,0.0,120.0,3.8
17.6,72.0,1006.3,0.0,130.0,2.8
16.3,79.0,1006.4,0.0,80.0,1.5
15.1,84.0,1006.3,0.0,80.0,1.8
13.5,88.0,1005.8,0.0,0.0,0.0
13.1,90.0,1005.7,0.0,0.0,0.0
12.8,92.0,1005.0,0.0,0.0,0.0
14.1,92.0,1004.1,0.0,0.0,0.0
14.9,90.0,1003.9,0.0,0.0,0.0
15.1,90.0,1003.9,0.0,0.0,0.0
15.4,90.0,1004.2,0.0,0.0,0.0
17.0,80.0,1004.5,0.0,0.0,0.0
19.9,68.0,1004.4,0.0,290.0,1.5
22.6,60.0,1004.0,0.0,250.0,1.5
24.5,54.0,1003.1,0.0,270.0,1.6
26.3,47.0,1002.4,0.0,310.0,2.0
29.8,38.0,1001.6,0.0,330.0,1.9
28.9,39.0,1000.8,0.0,200.0,2.8
29.6,42.0,1000.7,0.0,190.0,4.2
28.4,45.0,1000.5,0.0,170.0,5.0
27.9,46.0,1000.1,0.0,160.0,4.4
27.8,47.0,999.9,0.0,160.0,4.8
24.9,59.0,1000.2,0.0,160.0,5.4
23.8,64.0,1001.0,0.0,170.0,4.3
21.5,76.0,1001.7,0.0,190.0,3.5
19.8,85.0,1002.2,0.0,190.0,2.8
19.1,85.0,1002.7,0.0,140.0,1.1
18.0,87.0,1002.9,0.0,100.0,1.8
16.9,89.0,1002.7,0.0,90.0,1.8
15.7,91.0,1002.3,0.0,0.0,0.0
16.1,92.0,1001.8,0.0,80.0,1.3
15.6,92.0,1001.4,0.0,110.0,1.4
16.2,92.0,1001.5,0.0,130.0,1.6
17.1,91.0,1001.7,0.0,0.0,0.0
17.8,90.0,1002.1,0.0,0.0,0.0
19.4,85.0,1002.5,0.0,0.0,0.0
21.2,76.0,1002.5,0.0,0.0,0.0
22.6,68.0,1002.4,0.0,0.0,0.0
24.2,63.0,1002.0,0.0,180.0,2.0
26.6,53.0,1001.4,0.0,170.0,1.6
28.9,44.0,1000.4,0.0,140.0,2.5
27.4,54.0,999.9,0.0,150.0,3.9
27.0,56.0,999.9,0.0,170.0,5.6
28.1,53.0,999.6,0.0,160.0,5.5
26.7,59.0,999.3,0.0,160.0,5.6
25.7,63.0,998.8,0.0,150.0,5.3
25.2,62.0,999.0,0.0,130.0,5.2
23.3,69.0,999.7,0.0,110.0,5.6
22.2,70.0,1000.5,0.0,110.0,4.1
20.5,78.0,1001.2,0.0,140.0,2.4
20.1,83.0,1001.3,0.0,140.0,2.2
18.5,86.0,1001.0,0.0,0.0,0.0
17.6,90.0,1000.6,0.0,0.0,0.0
16.7,91.0,999.8,0.0,90.0,1.2
16.0,92.0,999.3,0.0,0.0,0.0
15.2,92.0,999.2,0.0,0.0,0.0
15.8,93.0,999.0,0.0,0.0,0.0
15.2,93.0,999.0,0.0,120.0,1.5
15.9,94.0,999.2,0.0,150.0,1.2
18.7,89.0,999.3,0.0,0.0,0.0
22.2,72.0,998.9,0.0,0.0,0.0
26.7,57.0,998.2,0.0,330.0,1.4
27.4,56.0,997.3,0.0,240.0,1.9
31.7,39.0,996.3,0.0,100.0,2.6
32.4,38.0,995.8,0.0,100.0,4.2
34.0,36.0,995.0,0.0,110.0,3.8
33.5,38.0,993.8,0.0,100.0,4.6
33.2,39.0,993.3,0.0,120.0,6.4
30.6,46.0,993.6,0.0,120.0,7.1
28.1,53.0,994.3,0.0,110.0,8.3
26.4,61.0,995.3,0.0,110.0,7.8
23.7,71.0,995.9,0.0,110.0,7.3
23.3,74.0,997.0,0.0,110.0,5.6
23.1,76.0,996.9,0.0,120.0,5.2
22.5,80.0,997.9,0.0,130.0,5.0
22.5,81.0,997.3,0.0,120.0,4.0
22.4,82.0,997.6,0.0,120.0,3.6
22.3,82.0,997.2,0.0,100.0,2.1
21.1,86.0,996.6,0.0,90.0,1.4
19.5,90.0,996.4,0.0,300.0,1.3
19.5,92.0,996.7,0.0,300.0,1.3
19.2,93.0,996.6,0.0,180.0,1.2
20.2,92.0,997.1,0.0,0.0,0.0
22.9,79.0,997.5,0.0,0.0,0.0
25.6,68.0,997.6,0.0,260.0,1.3
26.4,66.0,997.6,0.0,260.0,2.2
28.5,58.0,997.3,0.0,210.0,2.7
28.4,57.0,997.2,0.0,220.0,2.4
31.9,47.0,996.9,0.0,200.0,3.4
31.4,47.0,996.0,0.0,190.0,2.9
31.0,47.0,995.8,0.0,200.0,4.2
31.9,44.0,995.2,0.0,170.0,3.6
32.2,43.0,994.8,0.0,170.0,3.6
31.8,44.0,994.2,0.0,160.0,3.7
29.2,50.0,994.4,0.0,120.0,4.2
27.9,56.0,995.2,0.0,120.0,3.9
25.1,66.0,996.1,0.0,110.0,3.7
23.2,72.0,996.4,0.0,110.0,3.5
22.0,75.0,996.7,0.0,110.0,3.3
20.4,84.0,996.7,0.0,50.0,1.8
19.5,88.0,996.5,0.0,330.0,1.3
19.9,87.0,996.3,0.0,0.0,0.0
19.8,87.0,996.0,0.0,200.0,1.1
20.0,87.0,995.3,0.0,0.0,0.0
19.0,88.0,995.3,0.0,0.0,0.0
19.3,87.0,995.4,0.0,70.0,1.3
20.1,85.0,995.3,0.0,90.0,1.5
21.1,83.0,995.3,0.0,0.0,0.0
22.2,78.0,995.5,0.0,0.0,0.0
24.1,71.0,995.2,0.0,0.0,0.0
27.3,59.0,995.2,0.0,260.0,2.0
27.3,58.0,995.2,0.0,260.0,2.7
28.7,54.0,994.8,0.0,270.0,2.0
29.6,51.0,993.8,0.0,260.0,1.8
29.6,51.0,993.5,0.0,230.0,2.8
29.4,52.0,993.0,0.0,200.0,2.6
30.5,48.0,992.2,0.0,200.0,2.2
29.3,51.0,991.8,0.0,200.0,2.7
27.6,57.0,992.5,0.0,200.0,4.0
27.3,57.0,992.9,0.0,180.0,2.5
24.2,68.0,993.5,0.0,210.0,1.9
22.8,75.0,994.0,0.0,180.0,2.1
21.8,79.0,994.5,0.0,0.0,0.0
20.4,82.0,994.7,0.0,0.0,0.0
19.8,85.0,994.7,0.0,150.0,1.5
19.9,85.0,994.9,0.0,0.0,0.0
19.5,88.0,995.1,0.0,0.0,0.0
20.3,86.0,995.2,0.0,0.0,0.0
20.6,86.0,995.5,0.0,0.0,0.0
19.8,88.0,995.7,0.0,0.0,0.0
19.8,89.0,996.0,0.0,190.0,1.2
22.0,79.0,996.1,0.0,0.0,0.0
23.2,72.0,996.4,0.0,190.0,1.8
25.2,65.0,996.1,0.0,210.0,2.5
26.0,60.0,995.9,0.0,200.0,2.4
27.0,56.0,995.8,0.0,190.0,3.4
29.8,45.0,995.0,0.0,190.0,2.8
27.9,53.0,994.8,0.0,180.0,3.8
27.6,56.0,995.0,0.0,180.0,4.9
26.1,61.0,994.9,0.0,170.0,5.7
25.5,64.0,994.9,0.0,170.0,5.7
23.5,72.0,995.2,0.0,170.0,5.0
22.3,74.0,995.9,0.0,150.0,4.3
21.6,78.0,996.8,0.0,150.0,4.2
21.1,81.0,997.8,0.0,130.0,2.3
21.1,82.0,998.6,0.0,160.0,1.4
20.6,82.0,999.2,0.0,210.0,2.1
19.5,91.0,999.5,0.0,160.0,2.7
19.6,93.0,999.3,1.2,0.0,0.0
19.4,93.0,999.8,0.0,0.0,0.0
18.6,91.0,1000.1,0.8,0.0,0.0
18.1,90.0,999.9,0.0,130.0,1.6
18.2,91.0,1000.1,0.0,0.0,0.0
18.2,92.0,1000.7,0.0,130.0,1.2
18.2,92.0,1001.7,0.0,0.0,0.0
18.3,92.0,1002.3,0.0,0.0,0.0
19.4,91.0,1002.9,0.4,0.0,0.0
18.9,91.0,1003.4,0.0,160.0,2.7
19.6,84.0,1003.5,0.0,160.0,3.3
21.1,71.0,1003.6,0.2,140.0,3.8
21.9,65.0,1003.7,0.0,140.0,3.2
22.7,62.0,1003.6,0.0,150.0,3.3
22.2,63.0,1003.4,0.0,150.0,4.2
21.8,63.0,1003.4,0.0,150.0,4.7
21.9,62.0,1003.1,0.0,150.0,4.4
21.7,62.0,1002.8,0.0,150.0,4.0
20.9,64.0,1003.3,0.0,140.0,4.3
20.6,66.0,1003.9,0.0,140.0,3.5
20.1,69.0,1004.6,0.0,140.0,3.1
19.9,69.0,1005.3,0.0,130.0,2.7
19.7,71.0,1005.9,0.0,120.0,3.3
19.1,73.0,1006.0,0.0,120.0,3.0
19.0,75.0,1006.0,0.0,80.0,1.9
18.6,75.0,1005.6,0.0,90.0,3.1
17.9,78.0,1005.0,0.0,110.0,3.9
17.8,79.0,1004.7,0.0,120.0,3.3
16.3,85.0,1004.6,0.0,110.0,2.3
15.1,89.0,1004.9,0.0,100.0,2.0
15.6,90.0,1004.8,0.0,110.0,2.6
19.5,77.0,1005.1,0.0,100.0,2.0
21.9,66.0,1005.0,0.0,80.0,2.7
23.8,59.0,1004.2,0.0,60.0,4.2
27.3,48.0,1003.6,0.0,60.0,4.1
29.7,41.0,1002.9,0.0,50.0,3.4
30.5,38.0,1002.2,0.0,50.0,2.9
32.6,33.0,1001.2,0.0,100.0,2.6
33.5,33.0,1000.5,0.0,110.0,4.3
31.4,37.0,1000.2,0.0,110.0,6.5
29.6,40.0,1000.7,0.0,110.0,7.5
28.1,43.0,1000.5,0.0,100.0,7.7
24.5,54.0,1001.4,0.0,100.0,7.4
22.2,62.0,1002.0,0.0,90.0,6.8
20.9,67.0,1002.6,0.0,90.0,5.4
20.4,70.0,1003.4,0.0,90.0,4.8
19.8,72.0,1003.6,0.0,100.0,3.6
19.1,74.0,1003.6,0.0,100.0,2.8
18.0,78.0,1003.6,0.0,100.0,2.1
16.8,83.0,1002.8,0.0,130.0,1.6
16.0,85.0,1002.7,0.0,120.0,1.4
15.0,88.0,1002.8,0.0,0.0,0.0
13.7,89.0,1002.8,0.0,0.0,0.0
13.2,91.0,1002.9,0.0,0.0,0.0
13.7,91.0,1003.5,0.0,140.0,1.6
17.3,84.0,1003.9,0.0,100.0,1.8
22.5,63.0,1004.0,0.0,90.0,1.6
26.5,49.0,1003.2,0.0,80.0,3.4
28.2,43.0,1002.5,0.0,80.0,4.2
30.2,36.0,1002.1,0.0,90.0,4.4
31.5,35.0,1001.3,0.0,90.0,4.7
31.4,37.0,1000.6,0.0,110.0,5.6
30.4,39.0,999.9,0.0,120.0,7.5
30.1,39.0,999.3,0.0,120.0,8.1
31.5,35.0,998.7,0.0,110.0,7.6
30.7,37.0,998.1,0.0,100.0,6.7
29.0,40.0,998.2,0.0,100.0,6.2
26.0,50.0,998.8,0.0,100.0,6.1
23.3,61.0,999.3,0.0,100.0,5.5
21.6,66.0,999.5,0.0,100.0,4.2
20.4,71.0,999.5,0.0,90.0,3.7
18.9,76.0,999.6,0.0,90.0,2.2
18.2,81.0,999.2,0.0,90.0,2.4
16.7,84.0,999.2,0.0,50.0,1.1
15.7,87.0,998.9,0.0,110.0,1.2
14.9,89.0,998.7,0.0,0.0,0.0
14.1,90.0,998.4,0.0,0.0,0.0
13.3,91.0,998.8,0.0,0.0,0.0
13.9,91.0,998.8,0.0,140.0,1.4
18.6,78.0,998.8,0.0,0.0,0.0
21.9,67.0,998.7,0.0,0.0,0.0
24.7,59.0,998.3,0.0,300.0,1.7
29.1,46.0,997.5,0.0,270.0,1.3
31.3,39.0,996.8,0.0,200.0,1.6
34.3,28.0,995.9,0.0,260.0,1.9
36.2,27.0,994.7,0.0,290.0,2.1
37.7,25.0,993.5,0.0,270.0,2.3
38.4,20.0,992.6,0.0,180.0,2.7
37.6,23.0,992.4,0.0,200.0,4.8
36.0,26.0,992.5,0.0,190.0,4.5
33.6,31.0,992.7,0.0,190.0,4.7
29.6,39.0,993.6,0.0,210.0,3.5
24.4,59.0,994.6,0.0,200.0,2.2
21.4,69.0,995.4,0.0,200.0,2.6
19.8,76.0,996.2,0.0,220.0,1.8
18.1,82.0,996.4,0.0,220.0,1.6
17.8,87.0,996.1,0.0,0.0,0.0
18.5,88.0,996.7,0.0,230.0,1.4
18.8,86.0,996.6,0.0,0.0,0.0
18.7,88.0,996.6,0.0,260.0,1.5
18.5,89.0,997.0,0.0,230.0,1.5
18.6,89.0,997.3,0.0,0.0,0.0
18.6,90.0,998.1,0.0,240.0,1.5
18.7,90.0,999.2,0.0,240.0,1.5
19.4,92.0,999.6,0.0,0.0,0.0
20.7,84.0,999.5,0.0,0.0,0.0
24.1,70.0,999.2,0.0,200.0,1.5
28.1,54.0,998.4,0.0,240.0,1.5
30.8,46.0,997.9,0.0,180.0,2.7
30.4,46.0,997.3,0.0,160.0,4.0
29.8,48.0,997.3,0.0,170.0,4.8
29.8,47.0,997.1,0.0,160.0,5.3
29.6,48.0,997.1,0.0,150.0,5.8
27.2,55.0,997.2,0.0,150.0,6.5
25.9,61.0,997.5,0.0,140.0,5.3
25.2,61.0,997.9,0.0,130.0,4.8
24.0,68.0,998.3,0.0,110.0,4.4
23.4,72.0,998.8,0.0,110.0,3.3
22.5,73.0,999.1,0.0,110.0,2.3
21.7,77.0,998.8,0.0,110.0,1.9
20.2,83.0,998.7,0.0,140.0,1.4
19.7,85.0,998.1,0.0,130.0,1.5
18.7,87.0,997.3,0.0,0.0,0.0
17.4,89.0,996.5,0.0,0.0,0.0
18.8,89.0,996.6,0.0,0.0,0.0
19.2,87.0,996.6,0.0,0.0,0.0
19.6,89.0,997.2,0.0,0.0,0.0
20.5,87.0,997.6,0.0,0.0,0.0
21.6,83.0,997.9,0.0,0.0,0.0
25.3,68.0,997.8,0.0,290.0,1.2
28.4,54.0,997.0,0.0,60.0,1.4
31.4,44.0,996.2,0.0,90.0,2.1
31.1,47.0,995.4,0.0,80.0,2.3
34.0,38.0,994.6,0.0,130.0,2.6
34.9,37.0,993.8,0.0,130.0,2.8
35.8,35.0,993.0,0.0,160.0,3.6
35.6,34.0,992.5,0.0,130.0,5.2
32.8,37.0,993.0,0.0,110.0,7.2
30.7,45.0,993.7,0.0,110.0,6.9
27.6,59.0,994.4,0.0,100.0,6.5
25.5,66.0,995.2,0.0,90.0,5.2
24.4,72.0,995.6,0.0,90.0,4.6
23.7,75.0,996.3,0.0,90.0,2.9
23.0,80.0,996.6,0.0,130.0,2.3
21.2,85.0,996.7,0.0,190.0,1.1
20.8,90.0,996.6,0.0,280.0,1.2
20.7,89.0,996.4,0.0,230.0,1.2
20.2,91.0,996.5,0.0,230.0,1.5
20.0,93.0,996.7,0.0,230.0,1.3
20.1,92.0,996.9,0.0,210.0,1.3
20.1,93.0,997.5,0.0,230.0,1.1
20.3,92.0,997.9,0.0,230.0,1.3
21.8,85.0,998.4,0.0,230.0,1.3
25.4,70.0,998.4,0.0,290.0,1.4
27.9,60.0,998.1,0.0,270.0,1.6
30.7,50.0,997.0,0.0,260.0,1.8
32.1,48.0,996.5,0.0,180.0,2.6
31.8,47.0,996.2,0.0,190.0,5.4
33.6,39.0,995.4,0.0,170.0,4.2
34.3,38.0,994.7,0.0,170.0,4.3
32.4,43.0,994.7,0.0,160.0,5.8
30.9,48.0,995.0,0.0,140.0,6.3
28.9,56.0,995.8,0.0,130.0,5.3
26.8,66.0,996.5,0.0,110.0,5.5
26.2,66.0,997.0,0.0,100.0,3.8
25.0,71.0,997.5,0.0,100.0,3.6
24.3,76.0,997.8,0.0,120.0,2.4
22.9,80.0,998.1,0.0,150.0,1.4
21.8,84.0,998.2,0.0,200.0,1.2
21.3,85.0,997.6,0.0,260.0,1.3
20.6,88.0,997.5,0.0,220.0,1.4
20.7,88.0,997.5,0.0,210.0,1.5
20.6,89.0,997.1,0.0,270.0,1.3
20.6,89.0,997.3,0.0,270.0,1.2
20.9,90.0,997.5,0.0,0.0,0.0
23.4,81.0,998.1,0.0,230.0,1.2
24.7,74.0,998.2,0.0,0.0,0.0
25.7,71.0,998.3,0.0,280.0,1.8
27.9,63.0,997.9,0.0,220.0,2.1
29.3,58.0,997.6,0.0,220.0,2.4
31.1,52.0,997.1,0.0,200.0,3.7
31.0,50.0,996.5,0.0,180.0,4.2
29.3,53.0,996.6,0.0,170.0,5.2
28.3,59.0,996.5,0.0,160.0,6.3
27.7,63.0,996.1,0.0,160.0,5.2
28.3,61.0,996.1,0.0,150.0,4.0
26.5,68.0,996.7,0.0,160.0,4.1
24.9,77.0,997.5,0.0,160.0,4.2
24.3,79.0,998.1,0.0,160.0,3.7
23.9,81.0,998.8,0.0,150.0,2.1
23.0,82.0,999.2,0.0,130.0,1.2
21.8,86.0,999.4,0.0,170.0,1.5
21.5,87.0,999.2,0.0,280.0,1.2
21.0,89.0,998.6,0.0,0.0,0.0
21.2,88.0,998.2,0.0,170.0,1.2
20.6,89.0,997.7,0.0,0.0,0.0
20.2,89.0,997.5,0.0,0.0,0.0
20.9,90.0,997.7,0.0,100.0,1.1
21.7,90.0,997.8,0.0,0.0,0.0
22.9,84.0,998.2,0.0,0.0,0.0
24.5,78.0,998.2,0.0,190.0,1.1
26.2,71.0,997.9,0.0,200.0,1.8
27.3,64.0,997.2,0.0,220.0,2.3
30.8,52.0,996.4,0.0,180.0,2.2
31.9,49.0,995.6,0.0,180.0,2.9
30.8,52.0,994.4,0.0,140.0,2.6
33.8,44.0,993.3,0.0,160.0,3.2
32.2,48.0,992.3,0.0,160.0,4.4
32.4,48.0,991.9,0.0,160.0,5.2
31.7,50.0,991.5,0.0,160.0,5.3
30.4,52.0,991.4,0.0,140.0,4.9
28.3,60.0,991.9,0.0,120.0,4.4
27.4,62.0,991.9,0.0,110.0,3.9
26.6,64.0,992.1,0.0,100.0,2.9
25.7,67.0,992.3,0.0,80.0,2.9
25.3,69.0,991.8,0.0,90.0,1.6
23.7,80.0,991.8,0.0,220.0,1.6
22.3,91.0,992.2,4.0,240.0,2.0
22.2,93.0,992.1,9.0,310.0,1.3
21.6,94.0,991.9,1.6,280.0,1.4
20.6,94.0,991.8,3.0,300.0,2.0
20.5,94.0,990.6,0.2,300.0,1.1
20.4,94.0,990.5,0.0,110.0,1.5
21.3,94.0,991.3,0.0,220.0,1.4
22.0,89.0,991.7,0.0,230.0,1.4
24.2,82.0,991.3,0.0,310.0,1.8
26.6,70.0,990.8,0.0,290.0,1.7
30.2,55.0,990.3,0.0,270.0,2.4
32.1,47.0,989.5,0.2,260.0,2.9
33.0,40.0,988.4,0.0,270.0,3.1
32.1,52.0,987.8,0.0,210.0,4.4
26.9,67.0,988.6,0.0,180.0,7.0
25.4,74.0,989.7,0.8,200.0,5.4
24.3,76.0,989.1,0.0,200.0,5.9
24.9,73.0,989.9,0.0,200.0,4.2
23.9,74.0,990.6,0.0,200.0,4.7
22.4,80.0,991.5,0.0,200.0,3.9
22.0,76.0,992.1,0.0,190.0,2.8
