/home/chkkar002/envs/diffstg/lib64/python3.9/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
[I 2026-08-17 15:18:36,442] A new study created in RDB with name: agcrn_tuning_RV
/scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/lib/dataloader.py:80: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  X, Y = TensorFloat(X), TensorFloat(Y)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/chkkar002/.netrc.
2026-08-17 15:19: Train Epoch 2: 100/820 Loss: 0.330065
2026-08-17 15:19: Train Epoch 2: 120/820 Loss: 0.321591
2026-08-17 15:19: Train Epoch 2: 140/820 Loss: 0.321528
2026-08-17 15:19: Train Epoch 2: 160/820 Loss: 0.329796
2026-08-17 15:19: Train Epoch 2: 180/820 Loss: 0.338489
2026-08-17 15:19: Train Epoch 2: 200/820 Loss: 0.323016
2026-08-17 15:19: Train Epoch 2: 220/820 Loss: 0.344571
2026-08-17 15:20: Train Epoch 2: 240/820 Loss: 0.324486
2026-08-17 15:20: Train Epoch 2: 260/820 Loss: 0.333501
2026-08-17 15:20: Train Epoch 2: 280/820 Loss: 0.313632
2026-08-17 15:20: Train Epoch 2: 300/820 Loss: 0.337957
2026-08-17 15:20: Train Epoch 2: 320/820 Loss: 0.322626
2026-08-17 15:20: Train Epoch 2: 340/820 Loss: 0.345262
2026-08-17 15:20: Train Epoch 2: 360/820 Loss: 0.329625
2026-08-17 15:20: Train Epoch 2: 380/820 Loss: 0.331847
2026-08-17 15:20: Train Epoch 2: 400/820 Loss: 0.316644
2026-08-17 15:20: Train Epoch 2: 420/820 Loss: 0.337140
2026-08-17 15:20: Train Epoch 2: 440/820 Loss: 0.325647
2026-08-17 15:20: Train Epoch 2: 460/820 Loss: 0.321765
2026-08-17 15:20: Train Epoch 2: 480/820 Loss: 0.329665
2026-08-17 15:20: Train Epoch 2: 500/820 Loss: 0.333863
2026-08-17 15:20: Train Epoch 2: 520/820 Loss: 0.335753
2026-08-17 15:20: Train Epoch 2: 540/820 Loss: 0.331731
2026-08-17 15:20: Train Epoch 2: 560/820 Loss: 0.351697
2026-08-17 15:20: Train Epoch 2: 580/820 Loss: 0.324892
2026-08-17 15:20: Train Epoch 2: 600/820 Loss: 0.320625
2026-08-17 15:20: Train Epoch 2: 620/820 Loss: 0.323677
2026-08-17 15:20: Train Epoch 2: 640/820 Loss: 0.305634
2026-08-17 15:20: Train Epoch 2: 660/820 Loss: 0.332915
2026-08-17 15:20: Train Epoch 2: 680/820 Loss: 0.329330
2026-08-17 15:20: Train Epoch 2: 700/820 Loss: 0.329382
2026-08-17 15:20: Train Epoch 2: 720/820 Loss: 0.312881
2026-08-17 15:20: Train Epoch 2: 740/820 Loss: 0.339536
2026-08-17 15:20: Train Epoch 2: 760/820 Loss: 0.320797
2026-08-17 15:20: Train Epoch 2: 780/820 Loss: 0.327620
2026-08-17 15:20: Train Epoch 2: 800/820 Loss: 0.325368
2026-08-17 15:20: **********Train Epoch 2: averaged Loss: 0.327673, tf_ratio: 1.000000
2026-08-17 15:20: **********Val Epoch 2: average Loss: 0.321185
2026-08-17 15:20: *********************************Current best model saved!
2026-08-17 15:20: Train Epoch 3: 0/820 Loss: 0.317117
2026-08-17 15:20: Train Epoch 3: 20/820 Loss: 0.324883
2026-08-17 15:20: Train Epoch 3: 40/820 Loss: 0.317808
2026-08-17 15:20: Train Epoch 3: 60/820 Loss: 0.324610
2026-08-17 15:20: Train Epoch 3: 80/820 Loss: 0.324164
2026-08-17 15:20: Train Epoch 3: 100/820 Loss: 0.338028
2026-08-17 15:20: Train Epoch 3: 120/820 Loss: 0.321431
2026-08-17 15:20: Train Epoch 3: 140/820 Loss: 0.333484
2026-08-17 15:20: Train Epoch 3: 160/820 Loss: 0.314578
2026-08-17 15:20: Train Epoch 3: 180/820 Loss: 0.308608
2026-08-17 15:21: Train Epoch 3: 200/820 Loss: 0.331040
2026-08-17 15:21: Train Epoch 3: 220/820 Loss: 0.316979
2026-08-17 15:21: Train Epoch 3: 240/820 Loss: 0.319296
2026-08-17 15:21: Train Epoch 3: 260/820 Loss: 0.338744
2026-08-17 15:21: Train Epoch 3: 280/820 Loss: 0.326149
2026-08-17 15:21: Train Epoch 3: 300/820 Loss: 0.322522
2026-08-17 15:21: Train Epoch 3: 320/820 Loss: 0.318995
2026-08-17 15:21: Train Epoch 3: 340/820 Loss: 0.303545
2026-08-17 15:21: Train Epoch 3: 360/820 Loss: 0.326526
2026-08-17 15:21: Train Epoch 3: 380/820 Loss: 0.316456
2026-08-17 15:21: Train Epoch 3: 400/820 Loss: 0.308976
2026-08-17 15:21: Train Epoch 3: 420/820 Loss: 0.317189
2026-08-17 15:21: Train Epoch 3: 440/820 Loss: 0.337332
2026-08-17 15:21: Train Epoch 3: 460/820 Loss: 0.323151
2026-08-17 15:21: Train Epoch 3: 480/820 Loss: 0.317417
2026-08-17 15:21: Train Epoch 3: 500/820 Loss: 0.291781
2026-08-17 15:21: Train Epoch 3: 520/820 Loss: 0.322279
2026-08-17 15:21: Train Epoch 3: 540/820 Loss: 0.333390
2026-08-17 15:21: Train Epoch 3: 560/820 Loss: 0.309159
2026-08-17 15:21: Train Epoch 3: 580/820 Loss: 0.334507
2026-08-17 15:21: Train Epoch 3: 600/820 Loss: 0.308450
2026-08-17 15:21: Train Epoch 3: 620/820 Loss: 0.307845
2026-08-17 15:21: Train Epoch 3: 640/820 Loss: 0.320688
2026-08-17 15:21: Train Epoch 3: 660/820 Loss: 0.313850
2026-08-17 15:21: Train Epoch 3: 680/820 Loss: 0.314906
2026-08-17 15:21: Train Epoch 3: 700/820 Loss: 0.327088
2026-08-17 15:21: Train Epoch 3: 720/820 Loss: 0.323558
2026-08-17 15:21: Train Epoch 3: 740/820 Loss: 0.306840
2026-08-17 15:21: Train Epoch 3: 760/820 Loss: 0.319821
2026-08-17 15:21: Train Epoch 3: 780/820 Loss: 0.323129
2026-08-17 15:21: Train Epoch 3: 800/820 Loss: 0.324378
2026-08-17 15:21: **********Train Epoch 3: averaged Loss: 0.318940, tf_ratio: 1.000000
2026-08-17 15:21: **********Val Epoch 3: average Loss: 0.320774
2026-08-17 15:21: *********************************Current best model saved!
2026-08-17 15:21: Train Epoch 4: 0/820 Loss: 0.314451
2026-08-17 15:21: Train Epoch 4: 20/820 Loss: 0.313742
2026-08-17 15:21: Train Epoch 4: 40/820 Loss: 0.320167
2026-08-17 15:21: Train Epoch 4: 60/820 Loss: 0.307027
2026-08-17 15:21: Train Epoch 4: 80/820 Loss: 0.301939
2026-08-17 15:21: Train Epoch 4: 100/820 Loss: 0.309352
2026-08-17 15:21: Train Epoch 4: 120/820 Loss: 0.303270
2026-08-17 15:21: Train Epoch 4: 140/820 Loss: 0.309963
2026-08-17 15:22: Train Epoch 4: 160/820 Loss: 0.313343
2026-08-17 15:22: Train Epoch 4: 180/820 Loss: 0.305262
2026-08-17 15:22: Train Epoch 4: 200/820 Loss: 0.304791
2026-08-17 15:22: Train Epoch 4: 220/820 Loss: 0.323315
2026-08-17 15:22: Train Epoch 4: 240/820 Loss: 0.300143
2026-08-17 15:22: Train Epoch 4: 260/820 Loss: 0.301320
2026-08-17 15:22: Train Epoch 4: 280/820 Loss: 0.315932
2026-08-17 15:22: Train Epoch 4: 300/820 Loss: 0.324559
2026-08-17 15:22: Train Epoch 4: 320/820 Loss: 0.306042
2026-08-17 15:22: Train Epoch 4: 340/820 Loss: 0.311236
2026-08-17 15:22: Train Epoch 4: 360/820 Loss: 0.306168
2026-08-17 15:22: Train Epoch 4: 380/820 Loss: 0.315386
2026-08-17 15:22: Train Epoch 4: 400/820 Loss: 0.308037
2026-08-17 15:22: Train Epoch 4: 420/820 Loss: 0.313396
2026-08-17 15:22: Train Epoch 4: 440/820 Loss: 0.326388
2026-08-17 15:22: Train Epoch 4: 460/820 Loss: 0.325896
2026-08-17 15:22: Train Epoch 4: 480/820 Loss: 0.336524
2026-08-17 15:22: Train Epoch 4: 500/820 Loss: 0.312406
2026-08-17 15:22: Train Epoch 4: 520/820 Loss: 0.319148
2026-08-17 15:22: Train Epoch 4: 540/820 Loss: 0.316855
2026-08-17 15:22: Train Epoch 4: 560/820 Loss: 0.315785
2026-08-17 15:22: Train Epoch 4: 580/820 Loss: 0.305701
2026-08-17 15:22: Train Epoch 4: 600/820 Loss: 0.321518
2026-08-17 15:22: Train Epoch 4: 620/820 Loss: 0.312890
2026-08-17 15:22: Train Epoch 4: 640/820 Loss: 0.314997
2026-08-17 15:22: Train Epoch 4: 660/820 Loss: 0.303610
2026-08-17 15:22: Train Epoch 4: 680/820 Loss: 0.321836
2026-08-17 15:22: Train Epoch 4: 700/820 Loss: 0.314085
2026-08-17 15:22: Train Epoch 4: 720/820 Loss: 0.332475
2026-08-17 15:22: Train Epoch 4: 740/820 Loss: 0.316952
2026-08-17 15:22: Train Epoch 4: 760/820 Loss: 0.292979
2026-08-17 15:22: Train Epoch 4: 780/820 Loss: 0.321800
2026-08-17 15:22: Train Epoch 4: 800/820 Loss: 0.324288
2026-08-17 15:22: **********Train Epoch 4: averaged Loss: 0.313129, tf_ratio: 1.000000
2026-08-17 15:22: **********Val Epoch 4: average Loss: 0.319573
2026-08-17 15:22: *********************************Current best model saved!
2026-08-17 15:22: Train Epoch 5: 0/820 Loss: 0.318446
2026-08-17 15:22: Train Epoch 5: 20/820 Loss: 0.327394
2026-08-17 15:22: Train Epoch 5: 40/820 Loss: 0.304913
2026-08-17 15:22: Train Epoch 5: 60/820 Loss: 0.301789
2026-08-17 15:22: Train Epoch 5: 80/820 Loss: 0.315969
2026-08-17 15:22: Train Epoch 5: 100/820 Loss: 0.306134
2026-08-17 15:23: Train Epoch 5: 120/820 Loss: 0.314695
2026-08-17 15:23: Train Epoch 5: 140/820 Loss: 0.311804
2026-08-17 15:23: Train Epoch 5: 160/820 Loss: 0.305314
2026-08-17 15:23: Train Epoch 5: 180/820 Loss: 0.292962
2026-08-17 15:23: Train Epoch 5: 200/820 Loss: 0.306228
2026-08-17 15:23: Train Epoch 5: 220/820 Loss: 0.304669
2026-08-17 15:23: Train Epoch 5: 240/820 Loss: 0.301614
2026-08-17 15:23: Train Epoch 5: 260/820 Loss: 0.294606
2026-08-17 15:23: Train Epoch 5: 280/820 Loss: 0.312893
2026-08-17 15:23: Train Epoch 5: 300/820 Loss: 0.307506
2026-08-17 15:23: Train Epoch 5: 320/820 Loss: 0.287042
2026-08-17 15:23: Train Epoch 5: 340/820 Loss: 0.318219
2026-08-17 15:23: Train Epoch 5: 360/820 Loss: 0.311973
2026-08-17 15:23: Train Epoch 5: 380/820 Loss: 0.312309
2026-08-17 15:23: Train Epoch 5: 400/820 Loss: 0.305189
2026-08-17 15:23: Train Epoch 5: 420/820 Loss: 0.297913
2026-08-17 15:23: Train Epoch 5: 440/820 Loss: 0.316130
2026-08-17 15:23: Train Epoch 5: 460/820 Loss: 0.315799
2026-08-17 15:23: Train Epoch 5: 480/820 Loss: 0.315116
2026-08-17 15:23: Train Epoch 5: 500/820 Loss: 0.298115
2026-08-17 15:23: Train Epoch 5: 520/820 Loss: 0.300582
2026-08-17 15:23: Train Epoch 5: 540/820 Loss: 0.306251
2026-08-17 15:23: Train Epoch 5: 560/820 Loss: 0.313499
2026-08-17 15:23: Train Epoch 5: 580/820 Loss: 0.323074
2026-08-17 15:23: Train Epoch 5: 600/820 Loss: 0.307148
2026-08-17 15:23: Train Epoch 5: 620/820 Loss: 0.310626
2026-08-17 15:23: Train Epoch 5: 640/820 Loss: 0.304891
2026-08-17 15:23: Train Epoch 5: 660/820 Loss: 0.299645
2026-08-17 15:23: Train Epoch 5: 680/820 Loss: 0.319193
2026-08-17 15:23: Train Epoch 5: 700/820 Loss: 0.310064
2026-08-17 15:23: Train Epoch 5: 720/820 Loss: 0.299252
2026-08-17 15:23: Train Epoch 5: 740/820 Loss: 0.308583
2026-08-17 15:23: Train Epoch 5: 760/820 Loss: 0.289551
2026-08-17 15:23: Train Epoch 5: 780/820 Loss: 0.318511
2026-08-17 15:23: Train Epoch 5: 800/820 Loss: 0.310019
2026-08-17 15:23: **********Train Epoch 5: averaged Loss: 0.308660, tf_ratio: 1.000000
2026-08-17 15:23: **********Val Epoch 5: average Loss: 0.318342
2026-08-17 15:23: *********************************Current best model saved!
2026-08-17 15:23: Train Epoch 6: 0/820 Loss: 0.301011
2026-08-17 15:23: Train Epoch 6: 20/820 Loss: 0.290983
2026-08-17 15:23: Train Epoch 6: 40/820 Loss: 0.319519
2026-08-17 15:23: Train Epoch 6: 60/820 Loss: 0.329711
2026-08-17 15:24: Train Epoch 6: 80/820 Loss: 0.300641
2026-08-17 15:24: Train Epoch 6: 100/820 Loss: 0.313262
2026-08-17 15:24: Train Epoch 6: 120/820 Loss: 0.298298
2026-08-17 15:24: Train Epoch 6: 140/820 Loss: 0.300152
2026-08-17 15:24: Train Epoch 6: 160/820 Loss: 0.306001
2026-08-17 15:24: Train Epoch 6: 180/820 Loss: 0.306908
2026-08-17 15:24: Train Epoch 6: 200/820 Loss: 0.297483
2026-08-17 15:24: Train Epoch 6: 220/820 Loss: 0.304950
2026-08-17 15:24: Train Epoch 6: 240/820 Loss: 0.310264
2026-08-17 15:24: Train Epoch 6: 260/820 Loss: 0.314870
2026-08-17 15:24: Train Epoch 6: 280/820 Loss: 0.291314
2026-08-17 15:24: Train Epoch 6: 300/820 Loss: 0.305773
2026-08-17 15:24: Train Epoch 6: 320/820 Loss: 0.299969
2026-08-17 15:24: Train Epoch 6: 340/820 Loss: 0.311881
2026-08-17 15:24: Train Epoch 6: 360/820 Loss: 0.291154
2026-08-17 15:24: Train Epoch 6: 380/820 Loss: 0.303834
2026-08-17 15:24: Train Epoch 6: 400/820 Loss: 0.297249
2026-08-17 15:24: Train Epoch 6: 420/820 Loss: 0.314301
2026-08-17 15:24: Train Epoch 6: 440/820 Loss: 0.303958
2026-08-17 15:24: Train Epoch 6: 460/820 Loss: 0.307798
2026-08-17 15:24: Train Epoch 6: 480/820 Loss: 0.300322
2026-08-17 15:24: Train Epoch 6: 500/820 Loss: 0.312998
2026-08-17 15:24: Train Epoch 6: 520/820 Loss: 0.300051
2026-08-17 15:24: Train Epoch 6: 540/820 Loss: 0.299743
2026-08-17 15:24: Train Epoch 6: 560/820 Loss: 0.305765
2026-08-17 15:24: Train Epoch 6: 580/820 Loss: 0.307163
2026-08-17 15:24: Train Epoch 6: 600/820 Loss: 0.316652
2026-08-17 15:24: Train Epoch 6: 620/820 Loss: 0.295923
2026-08-17 15:24: Train Epoch 6: 640/820 Loss: 0.319636
2026-08-17 15:24: Train Epoch 6: 660/820 Loss: 0.316770
2026-08-17 15:24: Train Epoch 6: 680/820 Loss: 0.284104
2026-08-17 15:24: Train Epoch 6: 700/820 Loss: 0.296782
2026-08-17 15:24: Train Epoch 6: 720/820 Loss: 0.287399
2026-08-17 15:24: Train Epoch 6: 740/820 Loss: 0.305046
2026-08-17 15:24: Train Epoch 6: 760/820 Loss: 0.299518
2026-08-17 15:24: Train Epoch 6: 780/820 Loss: 0.284047
2026-08-17 15:24: Train Epoch 6: 800/820 Loss: 0.296819
2026-08-17 15:24: **********Train Epoch 6: averaged Loss: 0.304587, tf_ratio: 1.000000
2026-08-17 15:24: **********Val Epoch 6: average Loss: 0.321845
2026-08-17 15:24: Train Epoch 7: 0/820 Loss: 0.313449
2026-08-17 15:24: Train Epoch 7: 20/820 Loss: 0.288950
2026-08-17 15:24: Train Epoch 7: 40/820 Loss: 0.290696
2026-08-17 15:25: Train Epoch 7: 60/820 Loss: 0.300884
2026-08-17 15:25: Train Epoch 7: 80/820 Loss: 0.303984
2026-08-17 15:25: Train Epoch 7: 100/820 Loss: 0.307675
2026-08-17 15:25: Train Epoch 7: 120/820 Loss: 0.308385
2026-08-17 15:25: Train Epoch 7: 140/820 Loss: 0.306976
2026-08-17 15:25: Train Epoch 7: 160/820 Loss: 0.314746
2026-08-17 15:25: Train Epoch 7: 180/820 Loss: 0.289421
2026-08-17 15:25: Train Epoch 7: 200/820 Loss: 0.307596
2026-08-17 15:25: Train Epoch 7: 220/820 Loss: 0.303068
2026-08-17 15:25: Train Epoch 7: 240/820 Loss: 0.301243
2026-08-17 15:25: Train Epoch 7: 260/820 Loss: 0.295269
2026-08-17 15:25: Train Epoch 7: 280/820 Loss: 0.285247
2026-08-17 15:25: Train Epoch 7: 300/820 Loss: 0.298190
2026-08-17 15:25: Train Epoch 7: 320/820 Loss: 0.292990
2026-08-17 15:25: Train Epoch 7: 340/820 Loss: 0.307132
2026-08-17 15:25: Train Epoch 7: 360/820 Loss: 0.303194
2026-08-17 15:25: Train Epoch 7: 380/820 Loss: 0.291077
2026-08-17 15:25: Train Epoch 7: 400/820 Loss: 0.288771
2026-08-17 15:25: Train Epoch 7: 420/820 Loss: 0.299604
2026-08-17 15:25: Train Epoch 7: 440/820 Loss: 0.293280
2026-08-17 15:25: Train Epoch 7: 460/820 Loss: 0.308343
2026-08-17 15:25: Train Epoch 7: 480/820 Loss: 0.302287
2026-08-17 15:25: Train Epoch 7: 500/820 Loss: 0.309398
2026-08-17 15:25: Train Epoch 7: 520/820 Loss: 0.298873
2026-08-17 15:25: Train Epoch 7: 540/820 Loss: 0.285062
2026-08-17 15:25: Train Epoch 7: 560/820 Loss: 0.305535
2026-08-17 15:25: Train Epoch 7: 580/820 Loss: 0.301573
2026-08-17 15:25: Train Epoch 7: 600/820 Loss: 0.302330
2026-08-17 15:25: Train Epoch 7: 620/820 Loss: 0.292504
2026-08-17 15:25: Train Epoch 7: 640/820 Loss: 0.303141
2026-08-17 15:25: Train Epoch 7: 660/820 Loss: 0.299919
2026-08-17 15:25: Train Epoch 7: 680/820 Loss: 0.316037
2026-08-17 15:25: Train Epoch 7: 700/820 Loss: 0.317446
2026-08-17 15:25: Train Epoch 7: 720/820 Loss: 0.295363
2026-08-17 15:25: Train Epoch 7: 740/820 Loss: 0.293098
2026-08-17 15:25: Train Epoch 7: 760/820 Loss: 0.293875
2026-08-17 15:25: Train Epoch 7: 780/820 Loss: 0.312273
2026-08-17 15:25: Train Epoch 7: 800/820 Loss: 0.304875
2026-08-17 15:25: **********Train Epoch 7: averaged Loss: 0.300681, tf_ratio: 1.000000
2026-08-17 15:25: **********Val Epoch 7: average Loss: 0.320321
2026-08-17 15:25: Train Epoch 8: 0/820 Loss: 0.299755
2026-08-17 15:26: Train Epoch 8: 20/820 Loss: 0.297691
2026-08-17 15:26: Train Epoch 8: 40/820 Loss: 0.298277
2026-08-17 15:26: Train Epoch 8: 60/820 Loss: 0.282677
2026-08-17 15:26: Train Epoch 8: 80/820 Loss: 0.297316
2026-08-17 15:26: Train Epoch 8: 100/820 Loss: 0.286169
2026-08-17 15:26: Train Epoch 8: 120/820 Loss: 0.287502
2026-08-17 15:26: Train Epoch 8: 140/820 Loss: 0.307157
2026-08-17 15:26: Train Epoch 8: 160/820 Loss: 0.289404
2026-08-17 15:26: Train Epoch 8: 180/820 Loss: 0.300652
2026-08-17 15:26: Train Epoch 8: 200/820 Loss: 0.322252
2026-08-17 15:26: Train Epoch 8: 220/820 Loss: 0.295847
2026-08-17 15:26: Train Epoch 8: 240/820 Loss: 0.288705
2026-08-17 15:26: Train Epoch 8: 260/820 Loss: 0.298916
2026-08-17 15:26: Train Epoch 8: 280/820 Loss: 0.290620
2026-08-17 15:26: Train Epoch 8: 300/820 Loss: 0.295885
2026-08-17 15:26: Train Epoch 8: 320/820 Loss: 0.302032
2026-08-17 15:26: Train Epoch 8: 340/820 Loss: 0.309233
2026-08-17 15:26: Train Epoch 8: 360/820 Loss: 0.304973
2026-08-17 15:26: Train Epoch 8: 380/820 Loss: 0.283773
2026-08-17 15:26: Train Epoch 8: 400/820 Loss: 0.314372
2026-08-17 15:26: Train Epoch 8: 420/820 Loss: 0.313252
2026-08-17 15:26: Train Epoch 8: 440/820 Loss: 0.302142
2026-08-17 15:26: Train Epoch 8: 460/820 Loss: 0.303778
2026-08-17 15:26: Train Epoch 8: 480/820 Loss: 0.290344
2026-08-17 15:26: Train Epoch 8: 500/820 Loss: 0.288193
2026-08-17 15:26: Train Epoch 8: 520/820 Loss: 0.286786
2026-08-17 15:26: Train Epoch 8: 540/820 Loss: 0.310691
2026-08-17 15:26: Train Epoch 8: 560/820 Loss: 0.300057
2026-08-17 15:26: Train Epoch 8: 580/820 Loss: 0.292373
2026-08-17 15:26: Train Epoch 8: 600/820 Loss: 0.299357
2026-08-17 15:26: Train Epoch 8: 620/820 Loss: 0.282895
2026-08-17 15:26: Train Epoch 8: 640/820 Loss: 0.291270
2026-08-17 15:26: Train Epoch 8: 660/820 Loss: 0.293221
2026-08-17 15:26: Train Epoch 8: 680/820 Loss: 0.298250
2026-08-17 15:26: Train Epoch 8: 700/820 Loss: 0.282889
2026-08-17 15:26: Train Epoch 8: 720/820 Loss: 0.292431
2026-08-17 15:26: Train Epoch 8: 740/820 Loss: 0.291880
2026-08-17 15:26: Train Epoch 8: 760/820 Loss: 0.302066
2026-08-17 15:26: Train Epoch 8: 780/820 Loss: 0.304114
2026-08-17 15:26: Train Epoch 8: 800/820 Loss: 0.286852
2026-08-17 15:26: **********Train Epoch 8: averaged Loss: 0.297220, tf_ratio: 1.000000
2026-08-17 15:27: **********Val Epoch 8: average Loss: 0.324362
2026-08-17 15:27: Train Epoch 9: 0/820 Loss: 0.282883
2026-08-17 15:27: Train Epoch 9: 20/820 Loss: 0.291508
2026-08-17 15:27: Train Epoch 9: 40/820 Loss: 0.299178
2026-08-17 15:27: Train Epoch 9: 60/820 Loss: 0.301843
2026-08-17 15:27: Train Epoch 9: 80/820 Loss: 0.291294
2026-08-17 15:27: Train Epoch 9: 100/820 Loss: 0.302417
2026-08-17 15:27: Train Epoch 9: 120/820 Loss: 0.304893
2026-08-17 15:27: Train Epoch 9: 140/820 Loss: 0.303461
2026-08-17 15:27: Train Epoch 9: 160/820 Loss: 0.295385
2026-08-17 15:27: Train Epoch 9: 180/820 Loss: 0.294563
2026-08-17 15:27: Train Epoch 9: 200/820 Loss: 0.297491
2026-08-17 15:27: Train Epoch 9: 220/820 Loss: 0.291021
2026-08-17 15:27: Train Epoch 9: 240/820 Loss: 0.292433
2026-08-17 15:27: Train Epoch 9: 260/820 Loss: 0.297597
2026-08-17 15:27: Train Epoch 9: 280/820 Loss: 0.301716
2026-08-17 15:27: Train Epoch 9: 300/820 Loss: 0.294415
2026-08-17 15:27: Train Epoch 9: 320/820 Loss: 0.293428
